age,work_class,education,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,annual_income
30, Private, 9th, Never-married, Sales, Not-in-family, White, Male,0,0,40, NorthAmerica, <=50K
28, Private, Some-college, Divorced, Machine-op-inspct, Unmarried, Black, Female,0,0,25, NorthAmerica, <=50K
37, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,48, NorthAmerica, >50K
48, Private, Assoc-acdm, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, Europe, <=50K
76, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, NorthAmerica, >50K
44, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,60, NorthAmerica, >50K
20, Private, Some-college, Never-married, Tech-support, Own-child, White, Female,0,0,40, NorthAmerica, <=50K
30, Private, 11th, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, NorthAmerica, <=50K
42, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, NorthAmerica, <=50K
24, Private, Bachelors, Never-married, Sales, Other-relative, White, Male,0,0,40, NorthAmerica, <=50K
28, Private, Some-college, Married-civ-spouse, Sales, Wife, White, Female,4064,0,25, NorthAmerica, <=50K
36, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,40, NorthAmerica, <=50K
53, Private, 9th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50, NorthAmerica, <=50K
56, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, NorthAmerica, <=50K
55, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,56, NorthAmerica, <=50K
40, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, NorthAmerica, <=50K
30, Private, Bachelors, Never-married, Exec-managerial, Own-child, Black, Male,0,0,40, Europe, <=50K
47, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, NorthAmerica, >50K
20, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,1719,28, NorthAmerica, <=50K
31, Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, NorthAmerica, >50K
28, Private, Assoc-acdm, Never-married, Sales, Not-in-family, White, Female,0,0,60, NorthAmerica, <=50K
37, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, NorthAmerica, <=50K
46, Private, Assoc-acdm, Divorced, Tech-support, Not-in-family, Black, Female,0,0,36, NorthAmerica, <=50K
27, Private, Assoc-voc, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,35, NorthAmerica, <=50K
20, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,20, NorthAmerica, <=50K
27, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,40, NorthAmerica, <=50K
70, Private, Some-college, Never-married, Tech-support, Other-relative, White, Male,0,0,40, NorthAmerica, <=50K
31, Private, HS-grad, Never-married, Transport-moving, Unmarried, Black, Female,0,0,30, NorthAmerica, <=50K
34, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, NorthAmerica, <=50K
33, Private, Bachelors, Never-married, Exec-managerial, Other-relative, Asian-Pac-Islander, Female,0,0,40, Asia, <=50K
23, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, NorthAmerica, <=50K
71, Self-emp-not-inc, Some-college, Separated, Sales, Unmarried, Black, Male,0,1816,2, NorthAmerica, <=50K
44, Self-emp-inc, Masters, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, NorthAmerica, <=50K
28, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Europe, <=50K
45, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, NorthAmerica, >50K
18, Private, 11th, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,16, NorthAmerica, <=50K
51, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,1977,40, NorthAmerica, >50K
27, Private, HS-grad, Married-spouse-absent, Sales, Unmarried, White, Female,0,0,25, NorthAmerica, <=50K
34, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, Black, Male,0,0,40, NorthAmerica, <=50K
43, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, NorthAmerica, <=50K
40, Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Mexico, >50K
34, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,0,40, NorthAmerica, <=50K
41, Self-emp-not-inc, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, NorthAmerica, <=50K
38, Private, Some-college, Divorced, Machine-op-inspct, Not-in-family, Black, Female,0,0,28, NorthAmerica, <=50K
24, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, NorthAmerica, <=50K
47, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, NorthAmerica, <=50K
23, Private, 5th-6th, Married-civ-spouse, Transport-moving, Other-relative, White, Male,0,0,40, Mexico, <=50K
24, Self-emp-not-inc, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,40, NorthAmerica, <=50K
51, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, NorthAmerica, >50K
18, Private, 11th, Never-married, Sales, Own-child, White, Female,0,0,40, NorthAmerica, <=50K
58, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Wife, White, Female,15024,0,35, NorthAmerica, >50K
17, Private, 11th, Never-married, Sales, Own-child, White, Female,0,0,12, NorthAmerica, <=50K
35, Private, Some-college, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, NorthAmerica, <=50K
54, Self-emp-inc, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, NorthAmerica, >50K
37, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,60, NorthAmerica, >50K
50, Private, Assoc-acdm, Divorced, Sales, Not-in-family, White, Female,0,0,40, NorthAmerica, <=50K
38, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Europe, <=50K
31, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, NorthAmerica, <=50K
54, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,0,20, NorthAmerica, <=50K
18, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,40, NorthAmerica, <=50K
75, Private, Assoc-voc, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,20, LatinAmerica, <=50K
65, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, NorthAmerica, <=50K
35, Private, 11th, Separated, Transport-moving, Not-in-family, Black, Male,3674,0,40, NorthAmerica, <=50K
41, Private, HS-grad, Divorced, Sales, Unmarried, Black, Female,0,0,38, NorthAmerica, <=50K
25, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,42, NorthAmerica, <=50K
41, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Asia, >50K
23, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0,0,40, NorthAmerica, <=50K
58, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,45, NorthAmerica, >50K
40, Private, Assoc-acdm, Married-civ-spouse, Tech-support, Husband, White, Male,0,1977,60, NorthAmerica, >50K
42, Private, Bachelors, Married-civ-spouse, Adm-clerical, Wife, Black, Female,0,0,40, NorthAmerica, <=50K
58, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0,0,20, NorthAmerica, <=50K
45, Private, Assoc-voc, Widowed, Exec-managerial, Not-in-family, White, Female,0,0,45, NorthAmerica, <=50K
45, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, NorthAmerica, <=50K
59, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,4064,0,40, NorthAmerica, <=50K
37, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,75, Asia, >50K
64, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, NorthAmerica, >50K
61, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, NorthAmerica, >50K
43, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,0,40, NorthAmerica, <=50K
35, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, NorthAmerica, <=50K
25, Private, Some-college, Never-married, Tech-support, Own-child, White, Female,0,0,40, NorthAmerica, <=50K
24, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,7298,0,48, NorthAmerica, >50K
34, Private, Assoc-acdm, Divorced, Sales, Unmarried, Black, Female,0,0,45, NorthAmerica, <=50K
21, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, NorthAmerica, <=50K
25, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, NorthAmerica, <=50K
21, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,45, NorthAmerica, <=50K
27, Private, Bachelors, Never-married, Tech-support, Unmarried, Black, Female,0,0,40, NorthAmerica, <=50K
65, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,16, NorthAmerica, <=50K
37, Self-emp-inc, Bachelors, Divorced, Sales, Not-in-family, White, Female,0,0,60, NorthAmerica, <=50K
38, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,80, NorthAmerica, <=50K
48, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Male,7688,0,40, NorthAmerica, >50K
31, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, NorthAmerica, >50K
55, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,4386,0,40, NorthAmerica, >50K
24, Private, Some-college, Married-civ-spouse, Adm-clerical, Wife, Asian-Pac-Islander, Female,0,0,40, Asia, <=50K
43, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, NorthAmerica, <=50K
26, Private, Assoc-acdm, Never-married, Tech-support, Not-in-family, White, Male,0,0,45, NorthAmerica, <=50K
35, Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, NorthAmerica, >50K
26, Private, Bachelors, Never-married, Sales, Not-in-family, White, Male,0,0,40, NorthAmerica, <=50K
34, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,7298,0,35, Asia, >50K
22, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,15, NorthAmerica, <=50K
24, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, NorthAmerica, <=50K
77, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, NorthAmerica, <=50K
22, Private, 5th-6th, Married-civ-spouse, Machine-op-inspct, Other-relative, White, Female,0,0,40, Mexico, <=50K
29, Private, Some-college, Never-married, Tech-support, Not-in-family, White, Female,0,0,40, NorthAmerica, <=50K
39, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, NorthAmerica, <=50K
35, Private, HS-grad, Divorced, Transport-moving, Not-in-family, White, Male,0,0,45, NorthAmerica, <=50K
29, Private, 11th, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, NorthAmerica, <=50K
58, Self-emp-not-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, NorthAmerica, <=50K
66, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,2050,0,55, NorthAmerica, <=50K
26, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, NorthAmerica, <=50K
53, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, NorthAmerica, <=50K
19, Private, HS-grad, Never-married, Sales, Unmarried, Black, Male,0,0,30, LatinAmerica, <=50K
26, Private, Assoc-acdm, Never-married, Sales, Not-in-family, White, Male,0,0,40, NorthAmerica, <=50K
43, Self-emp-not-inc, Bachelors, Never-married, Sales, Not-in-family, White, Male,0,0,42, NorthAmerica, <=50K
33, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, NorthAmerica, >50K
33, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, NorthAmerica, >50K
40, Private, Assoc-voc, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, NorthAmerica, >50K
42, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,35, NorthAmerica, <=50K
43, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, NorthAmerica, <=50K
43, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Male,0,1564,45, NorthAmerica, >50K
22, Private, HS-grad, Married-spouse-absent, Sales, Not-in-family, White, Male,0,0,55, NorthAmerica, <=50K
56, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, NorthAmerica, <=50K
22, Private, Assoc-acdm, Never-married, Sales, Not-in-family, White, Female,0,0,15, NorthAmerica, <=50K
57, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,45, NorthAmerica, >50K
39, Private, HS-grad, Divorced, Sales, Unmarried, White, Female,0,0,40, NorthAmerica, <=50K
45, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,40, NorthAmerica, <=50K
23, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,40, NorthAmerica, <=50K
46, Self-emp-not-inc, Masters, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,30, NorthAmerica, <=50K
38, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, NorthAmerica, <=50K
54, Private, HS-grad, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, NorthAmerica, <=50K
46, Private, Some-college, Divorced, Sales, Not-in-family, White, Female,0,0,40, NorthAmerica, <=50K
29, Private, HS-grad, Separated, Machine-op-inspct, Not-in-family, White, Male,0,0,40, NorthAmerica, <=50K
44, Private, Some-college, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,2415,6, NorthAmerica, >50K
19, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,16, NorthAmerica, <=50K
44, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, NorthAmerica, <=50K
45, Private, Some-college, Divorced, Handlers-cleaners, Unmarried, White, Female,0,0,40, NorthAmerica, <=50K
25, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,55, NorthAmerica, >50K
52, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, NorthAmerica, >50K
20, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, NorthAmerica, <=50K
34, Private, Assoc-voc, Divorced, Tech-support, Not-in-family, White, Female,0,0,64, NorthAmerica, <=50K
28, Private, 7th-8th, Married-civ-spouse, Handlers-cleaners, Husband, Other, Male,0,2179,40, NorthAmerica, <=50K
41, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1977,65, NorthAmerica, >50K
28, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, NorthAmerica, <=50K
32, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, NorthAmerica, <=50K
24, Private, HS-grad, Never-married, Handlers-cleaners, Unmarried, Black, Female,0,0,40, NorthAmerica, <=50K
33, Private, Some-college, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, NorthAmerica, <=50K
46, Private, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,60, NorthAmerica, >50K
52, Private, 1st-4th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Mexico, <=50K
20, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,30, NorthAmerica, <=50K
17, Private, 11th, Never-married, Handlers-cleaners, Own-child, White, Male,2176,0,18, NorthAmerica, <=50K
25, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, NorthAmerica, <=50K
23, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,72, LatinAmerica, <=50K
63, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, NorthAmerica, >50K
23, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, NorthAmerica, <=50K
45, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,28, NorthAmerica, <=50K
20, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,35, NorthAmerica, <=50K
44, Private, HS-grad, Widowed, Exec-managerial, Unmarried, Black, Female,0,0,40, NorthAmerica, <=50K
20, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, NorthAmerica, <=50K
19, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, Black, Female,0,0,40, NorthAmerica, <=50K
44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Wife, White, Female,0,0,40, NorthAmerica, >50K
40, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,40, NorthAmerica, >50K
30, Private, HS-grad, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, NorthAmerica, <=50K
38, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,50, NorthAmerica, <=50K
23, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, NorthAmerica, <=50K
24, Private, Bachelors, Never-married, Tech-support, Not-in-family, White, Female,0,0,20, NorthAmerica, <=50K
37, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,60, NorthAmerica, <=50K
52, Private, HS-grad, Divorced, Transport-moving, Unmarried, White, Male,0,0,40, NorthAmerica, <=50K
38, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, NorthAmerica, <=50K
49, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1977,45, NorthAmerica, >50K
30, Private, Bachelors, Married-civ-spouse, Tech-support, Wife, White, Female,0,0,16, NorthAmerica, >50K
30, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,60, NorthAmerica, <=50K
22, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,30, NorthAmerica, <=50K
25, Private, Some-college, Married-spouse-absent, Adm-clerical, Own-child, Black, Female,0,0,20, NorthAmerica, <=50K
38, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,15024,0,60, NorthAmerica, >50K
35, Private, Assoc-acdm, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,60, NorthAmerica, <=50K
41, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,36, NorthAmerica, <=50K
20, Private, Some-college, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, NorthAmerica, <=50K
52, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, NorthAmerica, <=50K
25, Private, Bachelors, Never-married, Sales, Not-in-family, White, Female,0,0,40, NorthAmerica, <=50K
24, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,40, NorthAmerica, <=50K
19, Private, Some-college, Never-married, Protective-serv, Own-child, White, Male,0,0,8, NorthAmerica, <=50K
43, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, NorthAmerica, <=50K
49, Private, Assoc-voc, Married-spouse-absent, Handlers-cleaners, Unmarried, White, Male,0,1380,42, NorthAmerica, <=50K
25, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,20, NorthAmerica, <=50K
38, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,80, NorthAmerica, >50K
50, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,7688,0,50, NorthAmerica, >50K
44, Private, Some-college, Divorced, Machine-op-inspct, Unmarried, White, Male,0,0,58, NorthAmerica, >50K
28, Private, Some-college, Married-civ-spouse, Sales, Wife, White, Female,0,0,40, NorthAmerica, <=50K
42, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, NorthAmerica, >50K
74, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,9, NorthAmerica, <=50K
44, Private, 11th, Divorced, Machine-op-inspct, Unmarried, Other, Female,0,0,46, NorthAmerica, <=50K
26, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, NorthAmerica, <=50K
41, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,50, NorthAmerica, >50K
44, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, NorthAmerica, <=50K
30, Private, Some-college, Never-married, Handlers-cleaners, Unmarried, White, Female,0,0,40, NorthAmerica, <=50K
27, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, NorthAmerica, <=50K
27, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, NorthAmerica, <=50K
32, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,45, NorthAmerica, <=50K
21, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,36, NorthAmerica, <=50K
46, Self-emp-not-inc, Some-college, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,50, NorthAmerica, <=50K
72, Private, 11th, Widowed, Adm-clerical, Unmarried, White, Female,0,0,40, NorthAmerica, <=50K
35, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Wife, Black, Female,0,0,40, NorthAmerica, <=50K
69, Private, 11th, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,40, NorthAmerica, <=50K
35, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, NorthAmerica, <=50K
